original_comment,preprocessed_comment,sentiment
"Buat kawan-kawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini, mungkin komentar ini bisa sedikit membantu:<br><br>1. Artificial  Intelligent<br>Sesuai artinya, artificial=buatan, intelligent=buatan, jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia.<br><br>2. Algoritma<br>Sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu (bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman)<br><br>3. Machine Learning<br>Sebuah algortima yang dibuat sehingga sebuah &quot;mesin&quot; dapat belajar, baik secara supervised, rainforced atau unsupervised. Machine Learning sendiri merupakan salah satu dari cabang AI<br><br>4. Unsupervised Machine Learning<br>Dalam hal cara mesin belajar, ada 3 cara, supervised (diajari), reinforced (trial and error) atau unsupervised (tidak diajari). Dalam kasus ini ChatGPT masuk kedalam jenis unsupervised machine learning. Artinya, dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia. Tapi tentu dia memiliki batasannya, karna algoritma yang dibuat sudah terkhusus kepada jenis text, bukan yang lain. Dan sebuah ML akan jauh lebih efektif jika tugas yang diberikan spesifik.",buat kawankawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini mungkin komentar ini bisa sedikit membantu artificial intelligentsesuai artinya artificialbuatan intelligentbuatan jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia algoritmasekumpulan instruksi atau perintahperintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman machine learningsebuah algortima yang dibuat sehingga sebuah quotmesinquot dapat belajar baik secara supervised rainforced atau unsupervised machine learning sendiri merupakan salah satu dari cabang ai unsupervised machine learningdalam hal cara mesin belajar ada cara supervised diajari reinforced trial error atau unsupervised tidak diajari dalam kasus ini chatgpt masuk kedalam jenis unsupervised machine learning artinya dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia tapi tentu dia memiliki batasannya karna algoritma yang dibuat sudah terkhusus kepada jenis text bukan yang lain dan sebuah ml akan jauh lebih efektif jika tugas yang diberikan spesifik,-0.4019
"Bang kok tombol jempol keatasnya gue pencet nggak nyala sih , kenapa ya?",bang kok tombol jempol keatasnya gue pencet nggak nyala sih kenapa ya,0.0
"Sebenarnya bagus sebagai alternatif solusi atas segala pekerjaan manusia, namun semua itu tergantung bagaimana kita bisa memanajemennya saja..",sebenarnya bagus sebagai alternatif solusi atas segala pekerjaan manusia namun semua itu tergantung bagaimana kita bisa memanajemennya saja,0.0
"skrg bentuk dari chat gpt seperti yg kita lihat, jujur saya pun saya sering pake..<br>dan yg saya takutkan, bagaimana bentuk dia nanti 10-20 tahun kedepan...?<br>apakah AI nya akan berkembang menjadi &quot;perasaan dan emosi&quot;<br>hingga dia menjadi &quot;diri dia sendiri&quot; dengan &quot;pendapat&quot;nya sendiri<br><br>baiknya dia akan menjadi &quot;Jarvis&quot;<br>buruknya...dia akan menjadi &quot;skynet&quot;",skrg bentuk dari chat gpt seperti yg kita lihat jujur saya pun saya sering pakedan yg saya takutkan bagaimana bentuk dia nanti tahun kedepanapakah ai nya akan berkembang menjadi quotperasaan dan emosiquothingga dia menjadi quotdiri dia sendiriquot dengan quotpendapatquotnya sendiribaiknya dia akan menjadi quotjarvisquotburuknyadia akan menjadi quotskynetquot,0.0
"Dan saya merasakan hal itu, dan saya sedang mempelajari dan memanfaatkan kerjaan saya dengan GPTChat",dan saya merasakan hal itu dan saya sedang mempelajari dan memanfaatkan kerjaan saya dengan gptchat,0.0
"Sekarang ada ChatGpt Omni, nungguin dibahas kecanggihan nya pak indrawan",sekarang ada chatgpt omni nungguin dibahas kecanggihan nya pak indrawan,0.0
"Semoga pujian yg tulus ya, dan dukung AMIN jadi RI 1☝️👍👍",semoga pujian yg tulu ya dan dukung amin jadi ri,0.0
Amazing... Chat GPT sangat membantu saya. Thanks👍,amazing chat gpt sangat membantu saya thanks,0.7717
Guru-guru sekolah umum yg (hanya) mengajarkan ilmu. Ilmu sejarah misalnya. Wassalam kah?,guruguru sekolah umum yg hanya mengajarkan ilmu ilmu sejarah misalnya wassalam kah,0.0
ChatGPT apa sudah ada buat tadingbot?,chatgpt apa sudah ada buat tadingbot,0.0
